X,Y,Z
18,6,0.271801
17,2,-0.145123
13,7,-0.291614
14,8,-0.381841
18,9,-0.20711
13,5,-0.171821
12,9,-0.379681
14,4,-0.209625
16,7,-0.446176
20,8,0.796914
13,10,-0.451145
12,11,-0.507152
16,3,-0.2388
13,3,-0.286579
20,4,0.651493
14,11,-0.585221
15,6,-0.117476
16,6,-0.150102
13,2,-0.290632
13,6,-0.131234
16,2,-0.276406
12,10,-0.432356
20,9,0.743792
12,3,-0.217579
19,6,0.491285
16,4,-0.22935
20,3,0.673524
20,10,0.429747
14,5,-0.187184
12,7,-0.217817
13,8,-0.323171
17,5,-0.0533389
15,7,-0.376518
17,7,-0.0992604
12,6,-0.14494
17,3,-0.102751
17,10,-0.466414
15,11,-0.608802
19,11,-0.113914
16,9,-0.520559
15,2,-0.286555
18,10,-0.238488
17,4,-0.0804502
19,5,0.448014
19,7,0.598298
20,7,0.786332
17,11,-0.617636
14,10,-0.492042
19,10,-0.0214131
19,4,0.415622
15,10,-0.525284
20,11,0.143919
12,5,-0.169047
13,4,-0.202537
18,11,-0.395025
19,2,0.377533
12,2,-0.263443
15,4,-0.221532
15,3,-0.256369
16,5,-0.175952
20,2,0.61052
18,5,0.212109
14,7,-0.322868
14,2,-0.288136
12,4,-0.209754
13,11,-0.563253
15,5,-0.151187
18,3,0.168724
14,3,-0.277147
18,7,0.38549
20,5,0.665282
15,8,-0.37648
16,10,-0.563138
17,9,-0.423243
19,9,0.293025
18,8,0.113653
16,11,-0.641989
20,6,0.705477
15,9,-0.468875
14,6,-0.160992
13,9,-0.389638
17,8,-0.394044
18,2,0.118208
18,4,0.1723
17,6,0.00206356
16,8,-0.443803
19,8,0.609182
19,3,0.394302
14,9,-0.416935
12,8,-0.283595
