X,Y,Z
12,7,0.142857
14,3,-0.0133929
20,5,0.65625
13,5,0.0969163
14,7,0.015625
20,4,0.656965
14,8,0.00411523
16,5,0.173913
13,8,0.101695
20,8,0.786364
18,2,0.144044
16,2,0.0582192
13,6,0.159624
16,10,-0.262074
12,5,0.112
18,4,0.136919
17,9,-0.0819672
13,2,0.0204082
17,8,-0.058104
18,3,0.128205
16,7,-0.142373
14,11,-0.393701
17,6,0.2
12,8,0.0350877
17,2,-0.0216216
19,7,0.602439
15,7,0.0142857
13,11,-0.256881
14,6,0.213178
20,7,0.740476
14,2,-0.0254545
17,4,0.0651558
17,7,0.0733945
12,4,0.107143
20,9,0.772727
19,8,0.5629
12,11,-0.20354
19,5,0.388587
16,9,-0.0279503
12,2,0.106796
14,10,-0.174747
20,6,0.754967
15,10,-0.229694
14,9,-0.0310078
18,7,0.346457
15,6,0.216216
16,8,-0.02589
20,10,0.429206
17,11,-0.434783
16,4,-0.00664452
13,10,-0.216069
15,2,-0.0142349
16,6,0.134185
19,4,0.461538
20,2,0.668919
13,4,0.0780669
17,10,-0.236921
16,11,-0.473186
19,2,0.368421
12,3,0.0884956
13,7,0.166667
16,3,-0.0143369
15,3,-0.00371747
19,10,-0.0480896
17,3,0.0159236
15,11,-0.310345
20,3,0.699005
17,5,0.0828571
12,10,-0.0515222
14,5,0.0337079
19,6,0.525
12,9,0.0967742
13,9,-0.0819672
18,11,-0.352584
12,6,0.225806
18,8,0.120567
15,8,0.0144928
19,9,0.308081
15,5,0.113553
15,9,-0.0853242
18,10,-0.210212
13,3,-0.0355731
18,6,0.339726
19,11,-0.0564103
14,4,0.0336134
18,9,-0.131498
15,4,0.0410448
20,11,0.260579
18,5,0.141274
19,3,0.360849
